Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
APTUS,Aptus Value Housing Finance India Limited,279.05,INR,0.685549341511829,410392,0.3965782668360854,138894873691,INR,14.829281254151722,18.8175,INR,25.449999999999996,1.62249864791779,Finance,Strong buy
DEVYANI,Devyani International Ltd.,116.06,INR,3.348174532502231,4449216,3.5162989813897316,138459131766,INR,,-0.3133,INR,-353.68421052631584,0,Consumer services,Strong buy
BBOX,Black Box Limited,775.7,INR,-0.3532661057229109,205754,0.6636397327172382,138305374966,INR,61.17507886435332,12.68,INR,5.117428104818989,0.128410914927769,Technology services,Strong buy
ARVIND,Arvind Limited,523.45,INR,-0.7113050075872533,404881,1.0907357464266383,138213129639,INR,33.13897541087392,15.7956,INR,17.05473462672853,0.711237553342816,Process industries,Strong buy
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,71.57,INR,1.2019230769230689,49027357,1.4330935185262401,137550620794,INR,15.592592592592592,4.59,INR,69.37269372693726,0,Finance,Strong buy
INGERRAND,Ingersoll-Rand (India) Limited,4378.9,INR,0.5649587763819547,31797,2.1910530450241863,137129823211.99998,INR,53.990972118617634,81.1043,INR,-4.298549096607335,1.84164182368582,Producer manufacturing,Buy
VEDPOWER,Vedanta Power Ltd,36.97,INR,5.598400457012285,23415598,0.9384118799084371,136941787430,INR,,,,,0,Utilities,No rating
SHAILY,Shaily Engineering Plastics Limited,3049.7,INR,2.6938748021685694,187201,0.9909565114282296,136424204276,INR,82.8047787130057,36.83,INR,81.75896086975831,0.067429746632727,Process industries,Strong buy
FRACTAL,Fractal Analytics Limited,809.3,INR,2.8662217985382843,638751,1.3829949159995643,135370931298.00002,INR,,,,,0,Technology services,Buy
ALIVUS,Alivus Life Sciences Ltd,1132.5,INR,2.842353795859059,59581,0.5366376495701477,135203645540,INR,24.673202614379086,45.9,INR,16.143724696356262,0.453905859924652,Health technology,Strong buy
VIJAYA,Vijaya Diagnostic Centre Ltd.,1350.8,INR,2.8084329096582588,84864,0.3777624748997436,135103404541,INR,80.53131110793151,16.7736,INR,20.45154248290917,0.152322924600152,Health services,Buy
SKFINDUS,SKF India (Industrial) Ltd.,2714,INR,-0.6297598125366073,20891,0.6178027502587609,135020032113,INR,,,,,0,Producer manufacturing,Buy
VINATIORGA,Vinati Organics Limited,1313.6,INR,1.0383816629490041,20783,0.7187966908306126,134868990036,INR,30.685279662125545,42.8088,INR,9.50642706401483,0.576479631053036,Process industries,Buy
EIDPARRY,E.I.D.-Parry (India) Limited,771.15,INR,1.7348284960422133,149486,0.5300337445054819,134854818555,INR,24.172541447374606,31.9019,INR,-35.32961686600446,0,Process industries,Strong buy
DOMS,DOMS Industries Limited,2263.5,INR,1.9135524538496171,42006,0.994088385499742,134840383976.99998,INR,59.8334655035686,37.83,INR,13.50305285107786,0.14177374710264,Producer manufacturing,Strong buy
CEATLTD,CEAT Limited,3369.7,INR,1.2347533497566519,65031,0.24392036983205648,134514757516.00002,INR,23.11934486155974,145.7524,INR,36.81329305816558,0.902133545835902,Consumer durables,Buy
JSWDULUX,JSW Dulux Ltd,2944,INR,0.003396854512718131,10518,0.6055267702936097,133781498154,INR,6.79251586573891,433.4182,INR,359.55785053863775,3.40408149371096,Process industries,Neutral
VOGL,Vedanta Oil and Gas Limited,34.84,INR,1.7820625182588565,36182252,0.8685948823423902,133617948731.00002,INR,,,,,0,Energy minerals,No rating
AVANTIFEED,Avanti Feeds Limited,979.55,INR,0.25587226856353307,313085,0.42803031545883136,133268657241.00002,INR,22.0206729731674,44.4832,INR,14.606069974751371,0.920104278484895,Process industries,Buy
AMAGI,Amagi Media Labs Limited,625.05,INR,2.6270421147689027,231373,0.42236495385662925,131501621512.99998,INR,,,,,0,Technology services,Strong buy
GRAPHITE,Graphite India Limited,662.65,INR,-1.5013006317354176,731066,0.40099046123781545,131409620489,INR,73.98041776914403,8.9571,INR,-62.121301825194095,1.6354445435623,Process industries,Buy
GRAVITA,Gravita India Limited,1788.8,INR,0.7377372303880109,135647,0.6863993773944179,131035841305,INR,34.386708214709316,52.0201,INR,15.87290980329263,0.357675951220886,Non-energy minerals,Strong buy
CONCORDBIO,Concord Biotech Ltd.,1256.4,INR,0.6327593111734153,79408,0.9592446648901086,130629024815,INR,50.37831855745751,24.9393,INR,-29.796703111101102,0.856925479517879,Commercial services,Buy
LTFOODS,LT Foods Limited,376.4,INR,0.21299254526090375,314585,0.7679544146302048,130393475098,INR,20.896715595922807,18.0124,INR,3.327730706791405,0.932090545938748,Process industries,Strong buy
CORONA,Corona Remedies Limited,2098.2,INR,-0.7004259346900228,20186,0.6784708357701279,129298555202,INR,,,,,0.473014521545811,Health technology,Strong buy
BALRAMCHIN,Balrampur Chini Mills Ltd,611.65,INR,0.24584118659346063,208287,0.1979439909937941,128904685197,INR,32.884408602150536,18.6,INR,-13.769123783031983,0.573629435384742,Process industries,Strong buy
SWANDEF,Swan Defence and Heavy Industries Ltd,2430.7,INR,0.12357375293487664,14027,0.837848008266783,128860533958,INR,,-42.9509,INR,-24.66230140071631,0,Producer manufacturing,No rating
LLOYDSENGG,Lloyds Engineering Works Ltd,91.33,INR,3.2911106084596207,9220184,0.8256238070052421,128836081975,INR,69.69095764975201,1.3105,INR,65.99113362887904,0.28261361067149,Industrial services,No rating
SCI,Shipping Corporation of India Limited,283.8,INR,3.162486368593234,2204031,1.2788998134770608,128257760585,INR,9.769834002327135,29.0486,INR,60.39734075448363,0,Transportation,No rating
TRIDENT,Trident Limited,25.08,INR,-0.15923566878981965,3437030,0.37135294907581085,128061359107,INR,32.20338983050847,0.7788,INR,-10.110803324099713,1.98965380023876,Process industries,Buy
CARTRADE,CarTrade Tech Ltd.,2978.5,INR,12.125432916729405,3555902,5.000397961648871,127498759624,INR,67.11356466876971,44.38,INR,68.8094332445797,0,Technology services,Strong buy
WABAG,VA Tech Wabag Limited,1977.5,INR,-3.1207133058984935,821451,1.207476008526774,127459572300,INR,33.516949152542374,59,INR,25.987614776852453,0.195881589579099,Industrial services,Strong buy
TMB,Tamilnad Mercantile Bank Limited,893.65,INR,11.081417029210687,7671271,39.29720877242951,127140387638,INR,10.579846378239127,84.4672,INR,13.101579216577907,1.55685639556607,Finance,No rating
VGUARD,V-Guard Industries Limited,294.4,INR,1.237964236588709,272931,1.3894306323202128,127135296204,INR,41.9510665887684,7.0177,INR,-1.5750350631136083,0.515463917525773,Producer manufacturing,Strong buy
NUVOCO,Nuvoco Vistas Corporation Limited,351.15,INR,-1.3762112062912608,372984,0.04184646177475877,127040449920,INR,32.49433211493083,10.8065,INR,153.6558458324531,0,Non-energy minerals,Strong buy
ENGINERSIN,Engineers India Limited,226.42,INR,0.5372763198792148,837874,0.6269825317949731,126628145062,INR,18.414417931326142,12.2958,INR,19.204257918157232,1.99733688415446,Industrial services,Strong buy
GALLANTT,Gallantt Ispat Limited,547.25,INR,4.998081350729078,176732,0.6626773240782784,126407092884,INR,27.17215902602271,20.1401,INR,21.26016015413329,0.238595151746517,Non-energy minerals,No rating
INDIACEM,India Cements Ltd.,398.35,INR,-2.1253071253071196,214124,0.34049631196843166,126314107458,INR,133.47294354163176,2.9845,INR,,0,Non-energy minerals,Sell
SHADOWFAX,Shadowfax Technologies Limited,209.6,INR,-2.2752704214845187,9482795,0.5136176562894917,125434368550,INR,,,,,0,Technology services,Strong buy
KEC,KEC International Ltd.,464.6,INR,-1.127899553096394,947596,0.9149738870216824,125353584124,INR,20.424222442026597,22.7475,INR,4.9781252307465005,1.16797621575706,Industrial services,Buy
PCBL,PCBL Chemical Limited,326.15,INR,2.595155709342561,666364,0.48697679595366483,124983387866,INR,63.06558898600046,5.1716,INR,-54.97749571243264,3.62033684873288,Process industries,Neutral
HEG,HEG Limited,652.5,INR,1.4537821659022039,3378029,0.8056546357561245,124007352085,INR,35.08724760035491,18.5965,INR,82.31505264602653,0.280112044817927,Electronic technology,Strong buy
ACE,Action Construction Equipment Limited,1061.8,INR,2.1550894746969274,716079,0.629204374491354,123864391876,INR,28.934481847141566,36.6967,INR,3.324999014523117,0.192279959621208,Producer manufacturing,No rating
HOMEFIRST,Home First Finance Company India Ltd.,1182.5,INR,0.7240204429301533,149218,0.7174528687440801,122686471281,INR,22.929998060888114,51.57,INR,23.3142037302726,0.443024494142705,Finance,Strong buy
ATLANTAELE,Atlanta Electricals Limited,1614.3,INR,1.5410743489747138,111916,0.6111323772490306,122307925406,INR,57.08032190996139,28.2812,INR,,0,Producer manufacturing,Strong buy
SOUTHBANK,South Indian Bank Limited,47.9,INR,2.9664660361134896,15756388,0.7870364561334401,121818603967,INR,8.309480440627981,5.7645,INR,13.311579816405558,0.859660434128519,Finance,Buy
NSLNISP,NMDC Steel Limited,42.15,INR,1.787007969089597,2439423,0.9719312379276712,121327080985,INR,207.53323485967502,0.2031,INR,,0,Non-energy minerals,No rating
PARKHOSPS,Park Medi World Limited,279.7,INR,-0.1962533452274795,362975,0.3148055893896098,120746271584,INR,,,,,0,Health services,Strong buy
